       EEG1       EEG2       EEG3       EEG4
        0.6      -10.0        1.4      -12.8
      -12.1      -20.5       -1.9      -16.0
      -21.1      -23.3       -5.8      -15.4
      -25.5      -21.9       -9.4      -10.3
      -26.4      -21.4      -13.1       -1.5
      -23.9      -21.8      -16.1        3.5
      -17.5      -20.3      -16.4        2.1
      -10.0      -17.0      -14.1       -0.1
       -5.4      -14.8      -11.9        1.4
       -5.4      -15.3      -10.8        6.3
       -9.4      -17.5       -9.6       10.3
      -15.0      -18.9       -7.9       11.8
      -19.0      -17.8       -5.9       13.1
      -19.5      -13.8       -4.8       14.0
      -16.9       -6.5       -4.6       11.8
      -12.0        2.3       -4.1        7.1
       -6.6        8.8       -2.4        2.3
       -4.0       10.6       -0.6       -2.1
       -6.5        7.6        0.6       -4.9
      -14.3        0.9        1.5       -5.5
      -25.4       -7.5        2.0       -5.5
      -36.3      -14.9        2.1       -4.8
      -45.0      -20.4        2.3       -3.8
      -51.5      -24.6        2.9       -3.4
      -55.4      -30.3        4.3       -1.6
      -56.8      -38.1        5.8        4.5
      -56.9      -46.1        6.8       10.9
      -57.6      -51.9        7.3       11.3
      -60.5      -54.3        7.9        8.0
      -64.0      -53.8        9.1        5.8
      -65.9      -51.0       10.0        5.0
      -65.8      -47.0       10.3        4.4
      -64.4      -43.1       10.9        2.5
      -61.4      -39.9       11.8        0.6
      -56.3      -38.0       11.5       -0.4
      -50.1      -37.6        9.5       -1.6
      -45.4      -36.8        6.0       -2.0
      -42.5      -33.9        2.0        0.1
      -39.5      -29.5       -1.1        4.0
      -35.0      -24.8       -3.1        8.5
      -29.8      -21.9       -4.6       12.8
      -24.4      -23.0       -5.1       14.9
      -19.4      -28.5       -4.1       13.9
      -16.0      -35.9       -3.0       12.4
      -15.1      -42.6       -3.4       14.3
      -16.0      -47.6       -3.6       15.8
      -17.3      -49.9       -1.9        9.6
      -19.1      -49.3        1.4        0.1
      -22.3      -47.5        4.5       -3.9
      -25.1      -45.6        7.3       -1.6
      -24.4      -42.9        9.1        2.1
      -17.9      -37.6       10.0        3.0
       -7.6      -30.6       10.1        2.4
        2.0      -24.8       10.5        3.9
        8.5      -21.5       10.8        5.9
       11.4      -20.3        8.8        5.8
       11.6      -21.6        4.0        4.6
        9.9      -25.8       -0.4        3.3
        6.0      -29.4       -3.0        3.1
        0.1      -31.0       -5.5        6.0
       -6.1      -31.5       -7.6        6.1
      -10.8      -30.5       -8.4        0.6
      -12.9      -28.5       -7.8       -3.0
      -13.0      -25.5       -5.9       -0.5
      -11.4      -22.4       -3.4        4.0
       -7.0      -21.3       -1.9        5.1
       -0.1      -21.4       -1.6        1.9
        6.8      -20.6       -2.9       -3.8
       10.8      -18.3       -5.4       -9.4
       11.5      -14.4       -7.6       -9.6
       11.4      -10.0       -7.5       -3.5
       11.1       -7.0       -5.3        0.0
        9.8       -6.4       -2.5       -3.0
        7.5       -5.8       -0.6       -6.3
        6.1       -2.8       -1.0       -4.9
        6.4        0.8       -3.1       -0.4
        8.4        1.0       -4.9        2.8
       11.9       -2.0       -4.8        3.4
       15.9       -2.8       -3.1        3.4
       18.8        2.0       -2.3        3.5
       19.6       10.1       -4.0        3.4
       18.4       19.4       -7.5        2.1
       16.5       27.4       -9.9       -0.6
       16.6       31.9       -9.0       -4.0
       20.1       31.0       -4.5       -6.6
       26.4       26.0        1.1       -5.3
       35.1       22.4        5.3       -1.4
       46.5       25.0        7.5       -3.3
       56.6       32.1        8.6      -10.8
       58.9       38.3        8.9      -16.5
       50.0       39.8        8.3      -16.1
       34.3       37.0        7.9      -10.9
       19.9       32.6        9.1       -6.9
       13.4       29.5       11.6       -5.9
       16.5       29.5       13.3       -4.8
       27.3       33.3       12.4       -4.4
       41.1       39.8        9.0       -8.4
       52.3       45.9        4.0      -14.5
       57.8       50.1       -1.1      -16.5
       58.6       53.3       -4.6      -13.0
       56.8       55.0       -5.4       -7.0
       53.9       54.3       -2.9       -1.1
       51.6       51.6        1.4        5.4
       51.0       49.1        4.9       13.6
       52.0       46.9        6.8       18.3
       53.3       43.3        8.3       15.1
       53.0       39.8        9.3        9.3
       51.3       40.5        8.0        7.1
       49.1       46.5        5.0        8.3
       46.5       53.6        2.9        6.6
       42.9       58.4        3.3        1.0
       39.0       61.5        5.0       -3.0
       35.4       63.6        5.5       -3.3
       32.3       61.6        4.3       -3.5
       30.1       53.4        3.0       -5.5
       28.8       42.4        2.3       -8.6
       28.4       33.9        1.6      -11.1
       29.0       29.3        0.9      -12.0
       30.0       27.3        0.4      -10.6
       30.9       27.5        1.0       -6.9
       29.8       31.3        2.6       -5.3
       25.8       37.0        3.9       -9.3
       20.8       41.1        4.0      -14.5
       16.8       42.0        3.4      -16.1
       14.1       39.9        2.8      -13.6
       12.3       33.8        2.1      -10.6
        9.1       22.8        1.4       -9.9
        3.3        8.0        0.8       -7.5
       -6.5       -7.0        1.3       -1.3
      -19.6      -19.0        3.6        5.1
      -34.0      -27.6        7.0        9.3
      -48.3      -34.1        9.1       12.0
      -61.4      -38.3        8.9       15.0
      -70.6      -38.8        6.9       16.5
      -73.3      -36.4        3.4       11.1
      -69.4      -32.8       -1.6        0.0
      -61.8      -27.6       -6.1       -9.4
      -53.6      -21.9       -7.6      -11.0
      -46.5      -16.5       -6.0       -5.8
      -40.4       -9.0       -2.9       -0.1
      -35.4        0.9       -0.6        3.0
      -31.5        9.5        0.6        5.3
      -27.3       14.6        1.5        6.4
      -23.3       15.1        0.6        4.6
      -21.8       12.1       -3.3        1.6
      -22.9        7.9       -7.6       -0.3
      -24.9        1.9      -10.0        2.4
      -26.1       -5.9      -10.4        9.1
      -26.0      -12.6      -10.1       11.1
      -24.9      -17.5      -10.6        4.8
      -22.9      -20.5      -11.9       -3.5
      -19.4      -20.3      -12.6       -7.9
      -15.5      -16.8      -12.8       -8.9
      -13.0      -12.8      -12.8       -8.1
      -11.5      -10.5      -12.8       -5.1
      -10.0       -9.8      -11.9       -1.1
       -8.6       -8.1       -9.1        2.0
       -8.3       -5.3       -4.9        6.5
       -9.6       -3.8       -0.3       12.0
      -11.9       -5.4        3.9       11.6
      -13.6       -8.4        7.5        5.3
      -15.3      -10.6        9.9        0.6
      -18.0      -12.4       10.0        1.8
      -21.0      -14.4        8.1        5.5
      -23.0      -15.9        5.3        6.5
      -25.3      -17.5        0.6        4.5
      -27.6      -20.0       -4.4        2.3
      -27.1      -21.6       -6.8        0.4
      -22.1      -21.5       -6.5       -1.1
      -13.8      -21.1       -5.5       -1.6
       -5.4      -20.9       -4.8       -0.3
